Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
SONG,Scrypt,PoW,32565300.0,210240000.0,-0.16290144766758022,-1.1021539195568226,-0.011018053563903554,1,
ZNY,Scrypt,PoW,75614500.0,250000000.0,-0.16209274175582372,-1.102156203396666,-0.011040791977518272,1,
DIGS,Scrypt,PoS,100000000.0,100000000.0,-0.2931624864336578,0.831621196088071,-0.2566899911145629,0,
EXP,Ethash,PoW,10495278.0,16906397.0,-0.1398850112021013,-2.106382930778685,0.30800803648835384,1,
CON,X13,PoW/PoS,23042604.0,50000000.0,-0.2663632624223819,1.729740127950838,-0.55461300789779,0,
SC,Blake2b,PoW,33098296530.0,0.0,0.37860099057226937,-2.1519523972218595,0.3619697681752175,1,
EMC,SHA-256,PoW/PoS,43059794.8,1000000000.0,-0.29204744294829166,0.7911196650994766,-0.309093554491069,0,
EGC,X15,PoW/PoS,13530556.42,26298000.0,-0.23074670132520292,1.8640393860295796,-0.5615655048596516,0,
MND,X11,PoW,15867695.0,16000000.0,-0.22775859208308924,-0.8924530155004006,0.07674295748496149,1,
I0C,SHA-256,PoW,20997476.87,21000000.0,-0.14174386992378188,-1.3702756615254184,0.16052854604281308,1,
DCR,BLAKE256,PoW/PoS,10365046.93,21000000.0,-0.06699126735387408,0.9794382066083096,-0.39789853453584145,0,
RVR,Scrypt,PoW,210000000.0,210000000.0,-0.1607333069673289,-1.1020869961000788,-0.011098391975344115,1,
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.16532315040351633,-2.1842189812099297,0.33664655063821625,1,
EDRC,SHA-256,PoW/PoS,3669691.845,22000000.0,-0.2994720169405759,0.7915597339367187,-0.30899597072670026,0,
HTC,X11,PoW/PoS,10996318099.0,26550000000.0,-0.06263602498110427,1.2611821216263182,-0.39992577314095357,0,
GAME,Scrypt,PoW,69836100.0,84000000.0,-0.16334184839084914,-1.1020811669935704,-0.011024639651019602,1,
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0,-0.2995358100313233,0.7915656324738587,-0.3089956939450058,0,
DIEM,SHA-256,PoW,21739971929.0,21626280000.0,0.2772339396521317,-1.3721468772141987,0.14893063302309067,1,
PWR,NIST5,PoW/PoS,10069449032.0,0.0,-0.2204265700901694,1.5415388078593817,-0.46865850511094176,0,
BLRY,Scrypt,PoW/PoS,8998743.241,42000000.0,-0.3219073321240641,1.0597578459922712,-0.4805259453261083,0,
GPU,Scrypt,PoS,40477042.0,221052632.0,-0.29303103218770304,0.831542477447161,-0.25667290433110734,0,
ADZ,X11,PoW,45110324.0,84000000.0,-0.22691824913534447,-0.8924736334903758,0.07672416925448354,1,
SOIL,Dagger,PoW,5702048.0,30000000.0,-0.15159605898720735,-2.2094473743709866,0.3955930424937407,1,
YOC,Scrypt,PoW,636462.5598,168351300.0,-0.1635892746991684,-1.1021464582899565,-0.011000177854309812,1,
SIB,X11GOST,PoW,17263355.0,24000000.0,-0.16067476803324063,-2.2558203076534107,0.35758751377081044,1,
ERC,X11,PoW/PoS,10407269.79,384000000.0,-0.38273626116163134,1.2692161444097492,-0.3928168584273427,0,
ZEIT,Scrypt,PoS,36971236047.0,99000000000.0,0.8598312290625675,0.7995030698410198,-0.2814526573480131,0,
SWING,SHA-256,PoW/PoS,4377081.61,40000000.0,-0.2993355833426613,0.791551627890089,-0.3089977587844799,0,
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0,-0.2857731515011137,0.280153432528741,-0.4938438274231982,0,
NEBU,PoS,PoS,20000000.0,20000000.0,-0.3682610827047816,1.5402586082816463,-0.11889059546591478,0,
FRN,Scrypt,PoW,6570807.657,20000000.0,-0.1645698574205542,-1.1020752205405688,-0.01099076913046618,1,
BOLI,X11,PoW,13654082.5,25000000.0,-0.22772177082138614,-0.8924580352257787,0.07674322615782557,1,
XRA,X11,PoW/PoS,134554941.2,75000000.0,-0.3834116696629726,1.2694066177292551,-0.3928478880319777,0,
REV,SHA-256,PoW/PoS,1195525.0,222725000.0,-0.2980773161368413,0.7914654383127702,-0.30901121698582285,0,
CKC,SHA-256,PoW/PoS,16662820.0,525000000.0,-0.2957423008597565,0.7913306640806472,-0.30904286892715754,0,
